origin,destination,departure,arrival,vehicle_class,price,fare,duration
MADRID,SEVILLA,2019-04-16 11:05:00,2019-04-16 13:41:00,Preferente,61.2,Promo,156
MADRID,SEVILLA,2019-04-16 11:05:00,2019-04-16 13:41:00,Turista,71.4938,Flexible,156
MADRID,BARCELONA,2019-04-16 11:30:00,2019-04-16 14:40:00,Preferente,181.5,Flexible,190
MADRID,BARCELONA,2019-04-16 12:30:00,2019-04-16 15:30:00,Preferente,181.5,Flexible,180
MADRID,SEVILLA,2019-04-16 13:10:00,2019-04-16 20:51:00,Turista con enlace,34.35,Promo +,461
MADRID,BARCELONA,2019-04-16 13:25:00,2019-04-16 16:24:00,Turista,71.4938,Flexible,179
MADRID,BARCELONA,2019-04-16 13:25:00,2019-04-16 16:24:00,Turista,107.7,Flexible,179
MADRID,BARCELONA,2019-04-16 13:25:00,2019-04-16 16:24:00,Preferente,181.5,Flexible,179
MADRID,SEVILLA,2019-04-16 13:30:00,2019-04-16 16:05:00,Preferente,71.4938,Promo,155
MADRID,SEVILLA,2019-04-16 13:30:00,2019-04-16 16:05:00,Turista,71.4938,Promo,155
MADRID,BARCELONA,2019-04-16 14:00:00,2019-04-16 16:30:00,Turista,71.4938,Promo,150
MADRID,BARCELONA,2019-04-16 14:00:00,2019-04-16 16:30:00,Turista,100.4,Promo,150
MADRID,SEVILLA,2019-04-16 14:00:00,2019-04-16 16:32:00,Preferente,69.4,Promo,152
MADRID,SEVILLA,2019-04-16 14:00:00,2019-04-16 16:32:00,Turista,60.3,Promo,152
MADRID,BARCELONA,2019-04-16 14:30:00,2019-04-16 17:21:00,Turista,71.4938,Flexible,171
MADRID,SEVILLA,2019-04-16 15:00:00,2019-04-16 17:21:00,Turista,76.3,Flexible,141
MADRID,BARCELONA,2019-04-16 15:30:00,2019-04-16 18:40:00,Preferente,181.5,Flexible,190
MADRID,BARCELONA,2019-04-16 15:30:00,2019-04-16 18:40:00,Turista,107.7,Flexible,190
MADRID,SEVILLA,2019-04-16 16:00:00,2019-04-16 18:30:00,Preferente,69.4,Promo,150
MADRID,BARCELONA,2019-04-16 16:30:00,2019-04-16 19:15:00,Preferente,112.55,Promo,165
MADRID,SEVILLA,2019-04-16 16:30:00,2019-04-16 18:51:00,Preferente,71.4938,Promo,141
MADRID,SEVILLA,2019-04-16 16:30:00,2019-04-16 18:51:00,Preferente,69.4,Promo,141
MADRID,SEVILLA,2019-04-16 16:30:00,2019-04-16 18:51:00,Turista,76.3,Flexible,141
MADRID,BARCELONA,2019-04-16 17:00:00,2019-04-16 19:30:00,Turista,127.1,Flexible,150
MADRID,SEVILLA,2019-04-16 17:00:00,2019-04-16 19:38:00,Preferente,69.4,Promo,158
MADRID,SEVILLA,2019-04-16 17:00:00,2019-04-16 19:38:00,Turista,76.3,Flexible,158
MADRID,BARCELONA,2019-04-16 17:00:00,2019-04-16 19:30:00,Turista,71.4938,Flexible,150
MADRID,BARCELONA,2019-04-16 17:30:00,2019-04-16 20:40:00,Turista,71.4938,Promo,190
MADRID,BARCELONA,2019-04-16 17:30:00,2019-04-16 20:40:00,Turista,75.4,Promo,190
MADRID,BARCELONA,2019-04-16 17:30:00,2019-04-16 20:40:00,Turista Plus,80.15,Promo,190
MADRID,SEVILLA,2019-04-16 18:00:00,2019-04-16 20:32:00,Turista Plus,72.3,Promo,152
MADRID,SEVILLA,2019-04-16 18:00:00,2019-04-16 20:32:00,Turista Plus,71.4938,Promo,152
MADRID,BARCELONA,2019-04-16 18:30:00,2019-04-16 21:20:00,Turista Plus,90.5,Promo,170
MADRID,SEVILLA,2019-04-16 19:00:00,2019-04-16 21:38:00,Preferente,71.4938,Flexible,158
MADRID,BARCELONA,2019-04-16 19:00:00,2019-04-16 21:30:00,Turista Plus,71.4938,Promo,150
MADRID,SEVILLA,2019-04-16 19:00:00,2019-04-16 21:38:00,Turista,76.3,Flexible,158
MADRID,BARCELONA,2019-04-16 19:00:00,2019-04-16 21:30:00,Turista,127.1,Flexible,150
MADRID,BARCELONA,2019-04-16 19:00:00,2019-04-16 21:30:00,Turista Plus,106.75,Promo,150
MADRID,SEVILLA,2019-04-16 19:00:00,2019-04-16 21:38:00,Preferente,128.5,Flexible,158
MADRID,BARCELONA,2019-04-16 19:30:00,2019-04-16 22:40:00,Turista,107.7,Flexible,190
MADRID,BARCELONA,2019-04-16 19:30:00,2019-04-16 22:40:00,Turista,71.4938,Flexible,190
MADRID,BARCELONA,2019-04-16 20:30:00,2019-04-16 23:40:00,Turista Plus,90.5,Promo,190
MADRID,BARCELONA,2019-04-16 20:30:00,2019-04-16 23:40:00,Turista Plus,71.4938,Promo,190
MADRID,SEVILLA,2019-04-16 20:35:00,2019-04-16 23:15:00,Turista,76.3,Flexible,160
MADRID,BARCELONA,2019-04-16 21:25:00,2019-04-16 23:55:00,Turista,49.55,Promo,150
MADRID,SEVILLA,2019-04-16 21:25:00,2019-04-17 00:10:00,Turista Plus,71.4938,Promo,165
MADRID,BARCELONA,2019-04-16 21:25:00,2019-04-16 23:55:00,Turista,66.75,Promo,150
MADRID,SEVILLA,2019-04-16 21:25:00,2019-04-17 00:10:00,Turista Plus,58.95,Promo,165
MADRID,SEVILLA,2019-04-17 06:20:00,2019-04-17 09:16:00,Turista,71.4938,Flexible,176
MADRID,BARCELONA,2019-04-17 06:30:00,2019-04-17 09:20:00,Turista,75.4,Promo,170
MADRID,BARCELONA,2019-04-17 06:30:00,2019-04-17 09:20:00,Turista,85.1,Promo,170
MADRID,BARCELONA,2019-04-17 07:00:00,2019-04-17 09:30:00,Turista,88.95,Promo,150
MADRID,SEVILLA,2019-04-17 07:00:00,2019-04-17 09:32:00,Turista,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-17 07:15:00,2019-04-17 16:37:00,Turista,43.25,Adulto ida,562
MADRID,BARCELONA,2019-04-17 07:15:00,2019-04-17 16:37:00,Turista,71.4938,Adulto ida,562
MADRID,BARCELONA,2019-04-17 07:30:00,2019-04-17 10:40:00,Turista,75.4,Promo,190
MADRID,SEVILLA,2019-04-17 08:00:00,2019-04-17 10:32:00,Turista,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-17 08:00:00,2019-04-17 10:30:00,Turista,71.4938,Promo,150
MADRID,BARCELONA,2019-04-17 08:00:00,2019-04-17 10:30:00,Turista,71.4938,Flexible,150
MADRID,SEVILLA,2019-04-17 08:00:00,2019-04-17 10:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-17 08:30:00,2019-04-17 11:15:00,Turista,75.4,Promo,165
MADRID,SEVILLA,2019-04-17 08:30:00,2019-04-17 11:14:00,Turista,71.4938,Flexible,164
MADRID,SEVILLA,2019-04-17 09:00:00,2019-04-17 11:38:00,Turista,71.4938,Flexible,158
MADRID,BARCELONA,2019-04-17 09:30:00,2019-04-17 12:34:00,Turista,107.7,Flexible,184
MADRID,BARCELONA,2019-04-17 09:30:00,2019-04-17 12:34:00,Preferente,181.5,Flexible,184
MADRID,SEVILLA,2019-04-17 09:45:00,2019-04-17 12:27:00,Turista,71.4938,Flexible,162
MADRID,SEVILLA,2019-04-17 09:45:00,2019-04-17 12:27:00,Turista,62.2,Flexible,162
MADRID,SEVILLA,2019-04-17 10:00:00,2019-04-17 12:32:00,Turista,71.4938,Flexible,152
MADRID,SEVILLA,2019-04-17 10:00:00,2019-04-17 12:32:00,Preferente,128.5,Flexible,152
MADRID,SEVILLA,2019-04-17 10:00:00,2019-04-17 12:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-17 10:30:00,2019-04-17 13:15:00,Turista,75.4,Promo,165
MADRID,SEVILLA,2019-04-17 11:00:00,2019-04-17 13:32:00,Preferente,71.4938,Flexible,152
MADRID,SEVILLA,2019-04-17 11:00:00,2019-04-17 13:32:00,Turista,76.3,Flexible,152
MADRID,SEVILLA,2019-04-17 11:05:00,2019-04-17 13:41:00,Preferente,71.4938,Promo,156
